QR_Data,Alphanum_text,
b'http://en.m.wikipedia.org',141,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',aes,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',44B,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',14E,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',wee,
b'http://en.m.wikipedia.org',448,
b'http://en.m.wikipedia.org',gee,
b'http://en.m.wikipedia.org',443,
b'http://en.m.wikipedia.org',age,
b'http://en.m.wikipedia.org',14B,
b'http://en.m.wikipedia.org',141,
b'http://en.m.wikipedia.org',44k,
b'http://en.m.wikipedia.org',44k,
